"","country","continent","subcontinent","pcgdp","hdi","polstab","goveff","corrupt","law","regul","voice","polity","demo","demindx","poverty","growth","homicide","politydem"
"92","Iraq","Asia","Western Asia",6957.39990234375,0.642000019550323,4,14,7,4,11,17,3,"Non-Democratic",4.09999990463257,3.70000004768372,2.5,8,4
"93","Ireland","Europe","Northern Europe",50470.30078125,0.898999989032745,74,89,91,94,94,92,10,"Democratic",8.68000030517578,NA,0.200000002980232,1,10
"94","Isle of Man","Europe","Northern Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699999988079071,NA,NA
"95","Israel","Asia","Western Asia",36050.69921875,0.888000011444092,16,85,78,80,86,66,10,"Democratic",7.53000020980835,NA,1.89999997615814,2,10
"96","Italy","Europe","Southern Europe",35477.5,0.871999979019165,64,67,57,62,75,76,10,"Democratic",7.84999990463257,NA,1.20000004768372,1,10
"97","Jamaica","Americas","Caribbean",5290.5,0.714999973773956,55,55,45,43,58,64,9,"Democratic",7.3899998664856,NA,0.300000011920929,39,9
"98","Japan","Asia","Eastern Asia",38633.69921875,0.889999985694885,82,94,93,90,83,85,10,"Democratic",8.07999992370605,NA,-0.200000002980232,NA,10
"99","Jersey","Europe","Northern Europe",NA,NA,99,88,84,94,86,91,NA,NA,NA,NA,NA,NA,NA
"100","Jordan","Asia","Western Asia",5200.2998046875,0.745000004768372,26,50,61,63,56,25,-3,"Non-Democratic",3.75999999046326,NA,2.20000004768372,NA,2
"101","Kazakhstan","Asia","Central Asia",13611.5,0.757000029087067,35,35,20,31,37,14,-6,"Non-Democratic",3.05999994277954,NA,1.39999997615814,8,0
"102","Kenya","Africa","Eastern Africa",1238.5,0.535000026226044,14,37,13,28,39,41,8,"Democratic",5.13000011444092,NA,2.70000004768372,6,9
"103","Kiribati","Oceania","Micronesia",1650.59997558594,0.60699999332428,94,22,57,58,8,71,NA,NA,NA,NA,1.5,8,NA
"104","Kosovo","Europe","Southern Europe",NA,NA,18,41,31,36,53,40,8,"Democratic",NA,NA,NA,NA,8
